group_root,dataset,alpha,seed_block,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,nearly_tight_dp_mean,nearly_tight_rdp_mean,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,5-9,2.0,0.18866557158953268,500,500,0.6373336626328248,0.03376841300887022,0.0965955734544756,0.09876674239965706,0.09876674239965706,0.1481501135994856,-5.563964854955673,1.6105394865414755,-6.023100270748138,1.628541175918015,-6.023100270748138,1.628541175918015,-5.563964854955673,1.6105394865414755
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,10-14,2.0,0.18866557158953268,500,500,0.746430408781606,0.044812201340905654,0.11516658294459903,0.1404685675288814,0.1404685675288814,0.2107028512933221,-5.836948205947876,1.6145296526354846,-6.364467897415161,1.7844037936564232,-6.364467897415161,1.7844037936564232,-5.836948205947876,1.6145296526354846
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,15-19,2.0,0.18866557158953268,500,500,0.7118252616156486,0.03576352731966397,0.1277430387069912,0.13923729403476184,0.13923729403476184,0.20885594105214278,-5.416243235111237,1.4217828258864185,-5.923001937866211,1.4844528723573667,-5.923001937866211,1.4844528723573667,-5.416243235111237,1.4217828258864185
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,20-24,2.0,0.18866557158953268,500,500,0.6658601914620743,0.03599898823856567,0.09836708551665836,0.09188026919467136,0.09836708551665836,0.14755062827498755,-5.390093487501145,1.793659364040983,-5.861670446395874,1.7334357960213647,-5.861670446395874,1.7334357960213647,-5.390093487501145,1.793659364040983
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,5-9,4.38,0.7508354277015021,500,500,2.6520787815381217,0.3277650108198066,0.40327358270082775,0.38102728860959206,0.40327358270082775,0.6049103740512416,-5.240715357780457,0.78187381604798,-5.8751152634620665,0.7600009564636634,-5.8751152634620665,0.7600009564636634,-5.240715357780457,0.78187381604798
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,10-14,4.38,0.7508354277015021,500,500,2.9141563748949104,0.38970828054920786,0.44091714737377,0.5989818333028726,0.5989818333028726,0.8984727499543088,-5.621670304775238,0.6966276527649226,-6.330163028717041,0.8119317024250251,-6.330163028717041,0.8119317024250251,-5.621670304775238,0.6966276527649226
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,15-19,4.38,0.7508354277015021,500,500,3.037232760366462,0.4008783365606122,0.5742952438890175,0.6220196435108615,0.6220196435108615,0.9330294652662923,-5.047884475231171,0.5143722201072226,-5.694028358459473,0.5353167316936229,-5.694028358459473,0.5353167316936229,-5.047884475231171,0.5143722201072226
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,20-24,4.38,0.7508354277015021,500,500,2.3661117716623163,0.27060046888404504,0.49792516449098034,0.43324844669173046,0.49792516449098034,0.7468877467364705,-5.028330854415893,0.7137559838157153,-5.679837436676025,0.6657840749565259,-5.679837436676025,0.6657840749565259,-5.028330854415893,0.7137559838157153
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,5-9,6.57,1.4988609198702292,500,500,4.5925686973861115,0.8317394117631551,0.6418713387879857,0.6375674745739667,0.6418713387879857,0.9628070081819786,-5.165897216796875,0.5477852585368893,-5.848865416526794,0.5459456708342004,-5.848865416526794,0.5459456708342004,-5.165897216796875,0.5477852585368893
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,10-14,6.57,1.4988609198702292,500,500,4.900799633057986,0.9275611613410932,0.7650705661036844,1.0849163345633948,1.0849163345633948,1.6273745018450922,-5.578630403995514,0.435492506337153,-6.3291814994812015,0.5182830988619066,-6.3291814994812015,0.5182830988619066,-5.578630403995514,0.435492506337153
