group_root,dataset,alpha,seed_block,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,nearly_tight_dp_mean,nearly_tight_rdp_mean,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,5-9,2.0,0.18866557158953268,500,500,1.8875665752036581,0.20225670757093983,0.2667221810570435,0.29935912802870424,0.29935912802870424,0.44903869204305635,-2.5603169767856597,0.08300037927724277,-2.7392154524326324,0.08793522924102674,-2.7392154524326324,0.08793522924102674,-2.5603169767856597,0.08300037927724277
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,10-14,2.0,0.18866557158953268,500,500,0.7737887364074011,0.03929171210913717,0.1420979564499111,0.15598487696654284,0.15598487696654284,0.23397731544981426,-2.7078162684440614,0.08588512341586543,-2.8395026054382324,0.08998940115531022,-2.8395026054382324,0.08998940115531022,-2.7078162684440614,0.08588512341586543
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,15-19,2.0,0.18866557158953268,500,500,1.1441596547334756,0.09264405353419522,0.1967928528115339,0.21770237262986689,0.21770237262986689,0.3265535589448003,-2.6922027146816254,0.09055708975427078,-2.851852915763855,0.09525093533125048,-2.851852915763855,0.09525093533125048,-2.6922027146816254,0.09055708975427078
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,20-24,2.0,0.18866557158953268,500,500,1.4503650800717272,0.11952975594254829,0.2637005268545631,0.29940553725564956,0.29940553725564956,0.44910830588347433,-2.580797955751419,0.08921185572234078,-2.7659030380249026,0.09506458790368504,-2.7659030380249026,0.09506458790368504,-2.580797955751419,0.08921185572234078
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,5-9,4.38,0.7508354277015021,500,500,4.3180675034559135,0.763528383836179,0.7776974502957789,0.9080349339703779,0.9080349339703779,1.3620524009555668,-2.5350294933319093,0.021875803254434324,-2.6942554483413694,0.023636844669515357,-2.6942554483413694,0.023636844669515357,-2.5350294933319093,0.021875803254434324
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,10-14,4.38,0.7508354277015021,500,500,3.364673298767122,0.48201513036190374,0.5840103988965251,0.6308470802367507,0.6308470802367507,0.9462706203551261,-2.6671187319755556,0.022940168100956684,-2.8045927181243897,0.023842251056144736,-2.8045927181243897,0.023842251056144736,-2.6671187319755556,0.022940168100956684
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,15-19,4.38,0.7508354277015021,500,500,3.4755932917534116,0.5223169156427113,0.6865782934504774,0.7123206207899715,0.7123206207899715,1.0684809311849572,-2.66027584028244,0.024605356977896484,-2.8124204969406126,0.025062373695376002,-2.8124204969406126,0.025062373695376002,-2.66027584028244,0.024605356977896484
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,20-24,4.38,0.7508354277015021,500,500,3.77141832188392,0.6003898333345594,0.7416087677739999,0.9517400880889207,0.9517400880889207,1.4276101321333812,-2.5645479345321656,0.022644496090237703,-2.7277997999191284,0.025647739289289886,-2.7277997999191284,0.025647739289289886,-2.5645479345321656,0.022644496090237703
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,5-9,6.57,1.4988609198702292,500,500,4.97179913921201,0.9414959655354551,0.9476776249789168,1.206185492666891,1.206185492666891,1.8092782390003364,-2.534619350910187,0.012861864241857078,-2.6734259486198426,0.014507055986150107,-2.6734259486198426,0.014507055986150107,-2.534619350910187,0.012861864241857078
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,10-14,6.57,1.4988609198702292,500,500,5.700550892688705,1.2182555559792587,1.235789211236445,1.2208242000234388,1.235789211236445,1.8536838168546677,-2.651155339241028,0.013220858356614535,-2.79807559967041,0.013140564794533795,-2.79807559967041,0.013140564794533795,-2.651155339241028,0.013220858356614535
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,15-19,6.57,1.4988609198702292,500,500,5.14894976422485,0.9963626690144409,1.2110635686180493,1.3264731845975601,1.3264731845975601,1.98970977689634,-2.654842712879181,0.012760099402491842,-2.803265573978424,0.013354069368164684,-2.803265573978424,0.013354069368164684,-2.654842712879181,0.012760099402491842
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,20-24,6.57,1.4988609198702292,500,500,5.092523443507319,0.984401256903362,1.1576397948183983,1.4153947009947372,1.4153947009947372,2.123092051492106,-2.575315598487854,0.010873928776457532,-2.7145363845825194,0.012021852139015557,-2.7145363845825194,0.012021852139015557,-2.575315598487854,0.010873928776457532
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,5-9,10.0,3.0013370066103775,500,500,7.6851555597067644,1.955756795289862,1.6602011933660805,2.0116664626876317,2.0116664626876317,3.0174996940314474,-2.5325371084213257,0.007624610381595484,-2.671773307323456,0.008391614754620667,-2.671773307323456,0.008391614754620667,-2.5325371084213257,0.007624610381595484
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,10-14,10.0,3.0013370066103775,500,500,8.57367406807948,2.380337099550276,2.057667154965286,2.1174615427739267,2.1174615427739267,3.17619231416089,-2.6487977743148803,0.0075540088389592485,-2.794305502414703,0.0076629757137046395,-2.794305502414703,0.0076629757137046395,-2.6487977743148803,0.0075540088389592485
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,15-19,10.0,3.0013370066103775,500,500,8.286518501059623,2.20947307020749,1.9513828775522826,2.1694578122221335,2.1694578122221335,3.2541867183332003,-2.652938247203827,0.0076850662660536955,-2.799957790374756,0.008102886674427644,-2.799957790374756,0.008102886674427644,-2.652938247203827,0.0076850662660536955
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,20-24,10.0,3.0013370066103775,500,500,8.466284030974212,2.303922984309735,2.0327259693005395,2.5477945061298137,2.5477945061298137,3.821691759194721,-2.572717129230499,0.006116320631202001,-2.7123571915626528,0.0068455951939488426,-2.7123571915626528,0.0068455951939488426,-2.572717129230499,0.006116320631202001
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,5-9,17.85,7.495752416995524,500,500,13.618339374634692,4.936735914724859,2.9941169588838226,3.355269537514881,3.355269537514881,5.0329043062723215,-2.5315759434700014,0.004492218467769292,-2.6712223048210144,0.004755249634189544,-2.6712223048210144,0.004755249634189544,-2.5315759434700014,0.004492218467769292
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,10-14,17.85,7.495752416995524,500,500,14.337323789261248,5.364353541693878,3.504686516379604,3.8098521057763772,3.8098521057763772,5.714778158664566,-2.6475590829849245,0.004186581253293691,-2.7918165764808656,0.0043649792015677145,-2.7918165764808656,0.0043649792015677145,-2.6475590829849245,0.004186581253293691
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,15-19,17.85,7.495752416995524,500,500,15.19683996046515,5.845543975406493,3.1170571968103373,3.5107914737158965,3.5107914737158965,5.266187210573845,-2.6520676426887513,0.0046916844145739505,-2.797948654174805,0.00497897039552539,-2.797948654174805,0.00497897039552539,-2.6520676426887513,0.0046916844145739505
exp_data/dataset_size/1000samples,mnist_half_cnn,1.5,20-24,17.85,7.495752416995524,500,500,14.321748114961744,5.349214845511178,3.7053838782455832,4.764309382103306,4.764309382103306,7.146464073154959,-2.5712336826324464,0.0033097065080765786,-2.7112177548408507,0.003751314617021383,-2.7112177548408507,0.003751314617021383,-2.5712336826324464,0.0033097065080765786
