group_root,dataset,alpha,seed_block,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,dv_epochs,dv_batch_size,dv_lr,dv_ema_rate,nearly_tight_dp_mean,nearly_tight_rdp_mean,dv_qp_raw,dv_pq_raw,dv_selected_raw,dv_scaled_alpha,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,5-9,2.0,0.25155409545271024,500,500,250,400,0.0001,1.0,0.6373336626328248,0.045024550678493626,0.08631205558776855,0.07266783714294434,0.08631205558776855,0.1726241111755371,0.1280901546071739,0.13243316321931903,0.13243316321931903,0.26486632643863806,-5.563964854955673,1.6105394865414755,-6.023100270748138,1.628541175918015,-6.023100270748138,1.628541175918015,-5.563964854955673,1.6105394865414755
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,10-14,2.0,0.25155409545271024,500,500,250,400,0.0001,1.0,0.746430408781606,0.059749601787874196,0.0458524227142334,0.12466764450073242,0.12466764450073242,0.24933528900146484,0.14694590169256352,0.19819123378990328,0.19819123378990328,0.39638246757980655,-5.836948205947876,1.6145296526354846,-6.364467897415161,1.7844037936564232,-6.364467897415161,1.7844037936564232,-5.836948205947876,1.6145296526354846
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,15-19,2.0,0.25155409545271024,500,500,250,400,0.0001,1.0,0.7118252616156486,0.0476847030928853,0.11450958251953125,0.11664891242980957,0.11664891242980957,0.23329782485961914,0.16688030971434317,0.18992241882247432,0.18992241882247432,0.37984483764494864,-5.416243235111237,1.4217828258864185,-5.923001937866211,1.4844528723573667,-5.923001937866211,1.4844528723573667,-5.416243235111237,1.4217828258864185
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,20-24,2.0,0.25155409545271024,500,500,250,400,0.0001,1.0,0.6658601914620743,0.047998650984754226,0.08221280574798584,0.06507253646850586,0.08221280574798584,0.16442561149597168,0.13351279746771777,0.12052022670926188,0.13351279746771777,0.26702559493543554,-5.390093487501145,1.793659364040983,-5.861670446395874,1.7334357960213647,-5.861670446395874,1.7334357960213647,-5.390093487501145,1.793659364040983
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,5-9,4.38,1.001113903602003,500,500,250,400,0.0001,1.0,2.6520787815381217,0.4370200144264088,0.4583263397216797,0.30579328536987305,0.4583263397216797,0.9166526794433594,0.5456628206796893,0.501125392187916,0.5456628206796893,1.0913256413593786,-5.240715357780457,0.78187381604798,-5.8751152634620665,0.7600009564636634,-5.8751152634620665,0.7600009564636634,-5.240715357780457,0.78187381604798
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,10-14,4.38,1.001113903602003,500,500,250,400,0.0001,1.0,2.9141563748949104,0.519611040732277,0.365206241607666,0.6188206672668457,0.6188206672668457,1.2376413345336914,0.5515398644730207,0.8773702442648738,0.8773702442648738,1.7547404885297475,-5.621670304775238,0.6966276527649226,-6.330163028717041,0.8119317024250251,-6.330163028717041,0.8119317024250251,-5.621670304775238,0.6966276527649226
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,15-19,4.38,1.001113903602003,500,500,250,400,0.0001,1.0,3.037232760366462,0.534504448747483,0.41513538360595703,0.5953202247619629,0.5953202247619629,1.1906404495239258,0.7513160620622185,0.846955496317936,0.846955496317936,1.693910992635872,-5.047884475231171,0.5143722201072226,-5.694028358459473,0.5353167316936229,-5.694028358459473,0.5353167316936229,-5.047884475231171,0.5143722201072226
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,20-24,4.38,1.001113903602003,500,500,250,400,0.0001,1.0,2.3661117716623163,0.36080062517872674,0.3367767333984375,0.3184671401977539,0.3367767333984375,0.673553466796875,0.6896412315642657,0.5594979355321072,0.6896412315642657,1.3792824631285314,-5.028330854415893,0.7137559838157153,-5.679837436676025,0.6657840749565259,-5.679837436676025,0.6657840749565259,-5.028330854415893,0.7137559838157153
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,5-9,6.57,1.998481226493639,500,500,250,400,0.0001,1.0,4.5925686973861115,1.1089858823508734,0.6344280242919922,0.590634822845459,0.6344280242919922,1.2688560485839844,0.8572751990154905,0.8486673488318776,0.8572751990154905,1.714550398030981,-5.165897216796875,0.5477852585368893,-5.848865416526794,0.5459456708342004,-5.848865416526794,0.5459456708342004,-5.165897216796875,0.5477852585368893
exp_data/dataset_size/1000samples,cifar10_half_cnn,2.0,10-14,6.57,1.998481226493639,500,500,250,400,0.0001,1.0,4.900799633057986,1.2367482151214575,0.6515254974365234,1.0009384155273438,1.0009384155273438,2.0018768310546875,0.9501251874053513,1.6155809085902972,1.6155809085902972,3.2311618171805945,-5.578630403995514,0.435492506337153,-6.3291814994812015,0.5182830988619066,-6.3291814994812015,0.5182830988619066,-5.578630403995514,0.435492506337153
