group_root,dataset,alpha,seed_block,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,dv_epochs,dv_batch_size,dv_lr,dv_ema_rate,nearly_tight_dp_mean,nearly_tight_rdp_mean,dv_qp_raw,dv_pq_raw,dv_selected_raw,dv_scaled_alpha,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,5-9,2.0,0.25155409545271024,500,500,750,400,0.0001,1.0,1.736608116610564,0.21995000371669468,0.3814229965209961,0.2832045555114746,0.3814229965209961,0.7628459930419922,0.39626526440907983,0.3905337634741795,0.39626526440907983,0.7925305288181597,-2.504198332309723,0.0811988279850872,-2.6827019882202148,0.08080544632310134,-2.6827019882202148,0.08080544632310134,-2.504198332309723,0.0811988279850872
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,10-14,2.0,0.25155409545271024,500,500,750,400,0.0001,1.0,0.8754422251747742,0.06695508469414797,0.11914825439453125,0.1358628273010254,0.1358628273010254,0.2717256546020508,0.19827743467705625,0.23960291485371643,0.23960291485371643,0.47920582970743286,-2.5449950726032258,0.07919163659144439,-2.6775866811275484,0.084352211643982,-2.6775866811275484,0.084352211643982,-2.5449950726032258,0.07919163659144439
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,15-19,2.0,0.25155409545271024,500,500,750,400,0.0001,1.0,1.057302181988261,0.103777835289692,0.21947860717773438,0.29515981674194336,0.29515981674194336,0.5903196334838867,0.235306651865624,0.2915874881594746,0.2915874881594746,0.5831749763189492,-2.5121966099739073,0.08243122884628298,-2.6606724164485933,0.0885384702231692,-2.6606724164485933,0.0885384702231692,-2.5121966099739073,0.08243122884628298
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,20-24,2.0,0.25155409545271024,500,500,750,400,0.0001,1.0,1.3905728064509828,0.16115297101623846,0.002514362335205078,-0.4871053695678711,0.002514362335205078,0.005028724670410156,0.341496609089797,0.3816881587244251,0.3816881587244251,0.7633763174488502,-2.4748911123275756,0.08583986515066494,-2.6522817871570585,0.08908240135187223,-2.6522817871570585,0.08908240135187223,-2.4748911123275756,0.08583986515066494
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,5-9,4.38,1.001113903602003,500,500,750,400,0.0001,1.0,4.412884916231635,1.0523728207501601,1.6491012573242188,0.7500200271606445,1.6491012573242188,3.2982025146484375,1.237791084725511,1.2482253805855665,1.2482253805855665,2.496450761171133,-2.492007464885712,0.02051249149915902,-2.651796037197113,0.020569968591426624,-2.651796037197113,0.020569968591426624,-2.492007464885712,0.02051249149915902
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,10-14,4.38,1.001113903602003,500,500,750,400,0.0001,1.0,3.320541812590938,0.6358778401956565,0.89727783203125,0.6599540710449219,0.89727783203125,1.7945556640625,0.8367996592949264,1.0001469119070885,1.0001469119070885,2.000293823814177,-2.5158516902923584,0.02014877061547231,-2.6532721118927003,0.021380532717130096,-2.6532721118927003,0.021380532717130096,-2.5158516902923584,0.02014877061547231
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,15-19,4.38,1.001113903602003,500,500,750,400,0.0001,1.0,3.4194130176186723,0.6606662619464828,0.7652673721313477,1.1677932739257812,1.1677932739257812,2.3355865478515625,0.8495094701698452,1.040642735286768,1.040642735286768,2.081285470573536,-2.4933054137229917,0.02203459902551783,-2.6391786398887636,0.02357313152443051,-2.6391786398887636,0.02357313152443051,-2.4933054137229917,0.02203459902551783
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,20-24,4.38,1.001113903602003,500,500,750,400,0.0001,1.0,3.901259434490869,0.8925118122456043,0.3522958755493164,-0.2857952117919922,0.3522958755493164,0.7045917510986328,1.0745606538925727,1.1645124643369846,1.1645124643369846,2.3290249286739693,-2.467904809474945,0.022663037982069558,-2.628113312244415,0.023278314826733912,-2.628113312244415,0.023278314826733912,-2.467904809474945,0.022663037982069558
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,5-9,6.57,1.998481226493639,500,500,750,400,0.0001,1.0,5.065163587587529,1.2982195977373472,0.6802444458007812,1.520294189453125,1.520294189453125,3.04058837890625,1.2513513341073776,2.235826435686821,2.235826435686821,4.471652871373642,-2.4963326325416566,0.010716924269906433,-2.633354787826538,0.012952116182931697,-2.633354787826538,0.012952116182931697,-2.4963326325416566,0.010716924269906433
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,10-14,6.57,1.998481226493639,500,500,750,400,0.0001,1.0,5.583804750486808,1.5705411998864505,0.6576290130615234,0.8392982482910156,0.8392982482910156,1.6785964965820312,1.895225678300007,1.8903061003214479,1.895225678300007,3.790451356600014,-2.503827178955078,0.010975828484464963,-2.647930055618286,0.010966323335180654,-2.647930055618286,0.010966323335180654,-2.503827178955078,0.010975828484464963
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,15-19,6.57,1.998481226493639,500,500,750,400,0.0001,1.0,5.272000584929474,1.3863238108880176,1.4505043029785156,1.5930404663085938,1.5930404663085938,3.1860809326171875,1.4238744744435672,1.9618370294611411,1.9618370294611411,3.9236740589222823,-2.49305818605423,0.01129045958455367,-2.633080768585205,0.01255481260306601,-2.633080768585205,0.01255481260306601,-2.49305818605423,0.01129045958455367
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,20-24,6.57,1.998481226493639,500,500,750,400,0.0001,1.0,5.163297992652627,1.3421902859408763,1.0098419189453125,1.1119937896728516,1.1119937896728516,2.223987579345703,1.4939970383329229,1.8233381724942286,1.8233381724942286,3.646676344988457,-2.480238103866577,0.011456474200718277,-2.619641875743866,0.012241041476579744,-2.619641875743866,0.012241041476579744,-2.480238103866577,0.011456474200718277
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,5-9,10.0,4.001782675480503,500,500,750,400,0.0001,1.0,7.689468723790577,2.6117076289178103,1.802398681640625,1.6672935485839844,1.802398681640625,3.60479736328125,2.410294928685321,3.995869601697726,3.995869601697726,7.991739203395452,-2.4926057057380677,0.005968888384774305,-2.6321549520492553,0.007044048682642487,-2.6321549520492553,0.007044048682642487,-2.4926057057380677,0.005968888384774305
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,10-14,10.0,4.001782675480503,500,500,750,400,0.0001,1.0,8.610622323061962,3.1814370405915504,1.2567691802978516,1.3216361999511719,1.3216361999511719,2.6432723999023438,3.4652351201782428,3.7232361029777854,3.7232361029777854,7.446472205955571,-2.5020844020843507,0.005650968880961531,-2.645362930774689,0.005787822166784185,-2.645362930774689,0.005787822166784185,-2.5020844020843507,0.005650968880961531
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,15-19,10.0,4.001782675480503,500,500,750,400,0.0001,1.0,9.29547714187936,3.557364401019408,1.5362319946289062,1.8463592529296875,1.8463592529296875,3.692718505859375,2.6659087874499336,3.360130019815201,3.360130019815201,6.720260039630402,-2.4882990655899047,0.006889445058692889,-2.634174252986908,0.007439889100868343,-2.634174252986908,0.007439889100868343,-2.4882990655899047,0.006889445058692889
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,20-24,10.0,4.001782675480503,500,500,750,400,0.0001,1.0,8.246336390661131,2.9449708323954638,1.5705490112304688,1.4765567779541016,1.5705490112304688,3.1410980224609375,2.5905934659169434,3.2811573325727754,3.2811573325727754,6.562314665145551,-2.4784896712303164,0.006500444010364495,-2.6183747973442077,0.007031102113484451,-2.6183747973442077,0.007031102113484451,-2.4784896712303164,0.006500444010364495
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,5-9,17.85,9.994336555994032,500,500,750,400,0.0001,1.0,14.327959198202441,7.133668275097459,1.9980125427246094,1.380178451538086,1.9980125427246094,3.9960250854492188,5.066868206950177,8.039532802214799,8.039532802214799,16.079065604429598,-2.4925176157951356,0.0029364033030312136,-2.632909781455994,0.0034170289841344596,-2.632909781455994,0.0034170289841344596,-2.4925176157951356,0.0029364033030312136
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,10-14,17.85,9.994336555994032,500,500,750,400,0.0001,1.0,14.465804060475568,7.2605882324348485,1.445169448852539,1.8851203918457031,1.8851203918457031,3.7702407836914062,7.144430883020949,8.690215737327627,8.690215737327627,17.380431474655254,-2.5010674600601197,0.0025075014815227233,-2.6436137437820433,0.002676194774868122,-2.6436137437820433,0.002676194774868122,-2.5010674600601197,0.0025075014815227233
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,15-19,17.85,9.994336555994032,500,500,750,400,0.0001,1.0,15.917057089596403,8.38081861899262,1.42742919921875,1.2772579193115234,1.42742919921875,2.8548583984375,4.27964914511007,5.4854004204167515,5.4854004204167515,10.970800840833503,-2.488721019268036,0.004156324275642267,-2.6330374846458433,0.0045132354065487035,-2.6330374846458433,0.0045132354065487035,-2.488721019268036,0.004156324275642267
exp_data/dataset_size/100samples,mnist_half_cnn,2.0,20-24,17.85,9.994336555994032,500,500,750,400,0.0001,1.0,14.424997131187208,7.20879012985323,1.1589078903198242,1.522939682006836,1.522939682006836,3.045879364013672,4.683927037536814,6.21463794804413,6.21463794804413,12.42927589608826,-2.477473074913025,0.0035151392825027877,-2.61777064371109,0.00386053891647703,-2.61777064371109,0.00386053891647703,-2.477473074913025,0.0035151392825027877
