run_name,pooled_losses_in,pooled_losses_out,threshold_count,unique_c_count,tau,m,c,tp,fp,tn,fn,raw_tpr,raw_fpr,attack_acc,emp_noise,eps_rdp_alpha2,status
cifar10_half_cnn_eps10.0,500,500,999,275,-5.354434967041016,1000,774,362,88,412,138,0.724,0.176,0.774,1.9465821940646884,0.2639091859730455,ok
cifar10_half_cnn_eps17.85,500,500,1000,349,-5.529263019561768,1000,848,467,119,381,33,0.934,0.238,0.848,1.4223741247082362,0.4942791755927009,ok
cifar10_half_cnn_eps2.0,500,500,1000,100,-5.288415908813477,1000,599,234,135,365,266,0.468,0.27,0.599,6.179759919973324,0.026185254142950587,ok
cifar10_half_cnn_eps4.38,500,500,1000,171,-5.375335693359375,1000,670,313,143,357,187,0.626,0.286,0.67,3.3506168722907637,0.08907389794912894,ok
cifar10_half_cnn_eps6.57,500,500,1000,221,-5.321651935577393,1000,720,322,102,398,178,0.644,0.204,0.72,2.515571857285762,0.15802527147591297,ok
mnist_half_cnn_eps10.0,500,500,1000,316,-3.1592822074890137,1000,815,427,112,388,73,0.854,0.224,0.815,1.6304768256085362,0.3761583780069942,ok
mnist_half_cnn_eps17.85,500,500,1000,424,-3.139143943786621,1000,923,453,30,470,47,0.906,0.06,0.923,1.0193397799266424,0.9624142706095897,ok
mnist_half_cnn_eps2.0,500,500,1000,120,-3.2348926067352295,1000,619,326,207,293,174,0.652,0.414,0.619,4.9811937312437475,0.04030260649757396,ok
mnist_half_cnn_eps4.38,500,500,1000,196,-3.1891961097717285,1000,695,376,181,319,124,0.752,0.362,0.695,2.8817272424141382,0.12041878909774069,ok
mnist_half_cnn_eps6.57,500,500,1000,247,-3.1305766105651855,1000,746,350,104,396,150,0.7,0.208,0.746,2.2126375458486165,0.2042581738556534,ok
