group_root,dataset,alpha,seed_block,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,dv_epochs,dv_batch_size,dv_lr,dv_ema_rate,nearly_tight_dp_mean,nearly_tight_rdp_mean,dv_qp_raw,dv_pq_raw,dv_selected_raw,dv_scaled_alpha,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,5-9,2.0,0.25155409545271024,500,500,750,400,0.0001,1.0,0.06123401357307874,0.0015466851750274367,-0.0093231201171875,0.0036008358001708984,0.0036008358001708984,0.007201671600341797,0.053785892509032214,0.11584086799676527,0.11584086799676527,0.23168173599353054,-7.682488146036745,20.68035485411657,-8.481969425393268,28.04640941376684,-8.481969425393268,28.04640941376684,-7.682488146036745,20.68035485411657
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,10-14,2.0,0.25155409545271024,500,500,750,400,0.0001,1.0,0.020165077329757666,0.00012457106740739897,0.006072521209716797,-0.00024271011352539062,0.006072521209716797,0.012145042419433594,0.023221654260217307,0.03773452715365261,0.03773452715365261,0.07546905430730522,-7.984297258512932,22.11526333644821,-8.344894901867491,27.450849677718004,-8.344894901867491,27.450849677718004,-7.984297258512932,22.11526333644821
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,15-19,2.0,0.25155409545271024,500,500,750,400,0.0001,1.0,0.10357957669325826,0.0043142801603745125,-0.020426273345947266,-0.010217428207397461,-0.010217428207397461,0.0,0.025309691786831047,0.020309823392623633,0.025309691786831047,0.050619383573662094,-7.913830886926502,27.236248964289935,-8.631180696513503,25.233732397789428,-8.631180696513503,25.233732397789428,-7.913830886926502,27.236248964289935
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,20-24,2.0,0.25155409545271024,500,500,750,400,0.0001,1.0,0.0,6.283185195377756e-10,0.010400176048278809,0.0050029754638671875,0.010400176048278809,0.020800352096557617,0.013857856186858293,0.018738853982303266,0.018738853982303266,0.03747770796460653,-7.705342210777802,20.438633566365198,-8.151597391745133,22.95355438951082,-8.151597391745133,22.95355438951082,-7.705342210777802,20.438633566365198
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,5-9,4.38,1.001113903602003,500,500,750,400,0.0001,1.0,0.36780626815832124,0.024980400131678397,-0.039526939392089844,0.012820243835449219,0.012820243835449219,0.025640487670898438,0.059231435796152074,0.08436086936510209,0.08436086936510209,0.16872173873020418,-8.063831634351853,22.094409819114013,-9.273697199951858,24.9352062988689,-9.273697199951858,24.9352062988689,-8.063831634351853,22.094409819114013
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,10-14,4.38,1.001113903602003,500,500,750,400,0.0001,1.0,0.29482926827189443,0.013639963993257367,-0.05977475643157959,-0.06674385070800781,-0.05977475643157959,0.0,0.05623210419505213,0.04630356943147221,0.05623210419505213,0.11246420839010426,-8.026924639798322,22.91733652717771,-9.06584599415399,21.464528580549782,-9.06584599415399,21.464528580549782,-8.026924639798322,22.91733652717771
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,15-19,4.38,1.001113903602003,500,500,750,400,0.0001,1.0,0.7180831463617138,0.06363614957949536,0.1177757978439331,-10.701149940490723,0.1177757978439331,0.2355515956878662,0.14729860315636262,0.5113395210727564,0.5113395210727564,1.0226790421455128,-7.609082627763968,18.85731975991948,-9.424286290943336,28.529149837863784,-9.424286290943336,28.529149837863784,-7.609082627763968,18.85731975991948
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,20-24,4.38,1.001113903602003,500,500,750,400,0.0001,1.0,1.111011566240477,0.1060036160895907,0.20769762992858887,0.12431526184082031,0.20769762992858887,0.41539525985717773,0.12112813226911358,0.23457501522400662,0.23457501522400662,0.46915003044801323,-7.902761303905398,22.545115533137643,-9.74830857687071,28.217931812028677,-9.74830857687071,28.217931812028677,-7.902761303905398,22.545115533137643
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,5-9,6.57,1.998481226493639,500,500,750,400,0.0001,1.0,0.9642014997699349,0.10048728045782626,-0.029038429260253906,nan,-0.029038429260253906,0.0,0.18038095271743654,0.8720862021660791,0.8720862021660791,1.7441724043321583,-7.6287301928400995,13.327550124597296,-9.355915093049408,21.794102073184543,-9.355915093049408,21.794102073184543,-7.6287301928400995,13.327550124597296
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,10-14,6.57,1.998481226493639,500,500,750,400,0.0001,1.0,0.41202733381924117,0.022994685284090342,-0.08166813850402832,0.009785652160644531,0.009785652160644531,0.019571304321289062,0.10619702162278533,0.18992498501842398,0.18992498501842398,0.37984997003684795,-7.541560677565169,15.190859051901013,-8.942087277483195,18.518387054803323,-8.942087277483195,18.518387054803323,-7.541560677565169,15.190859051901013
